enterprise_name,legal_representative,contact_number,province,city,address,email,unified_social_credit_code,organization_code
厦门贝贝哟宠物食品有限公司,钟高昌,—,福建,厦门市,厦门市集美区灌口镇海仔市里98号,,91350211MA31E9NY92,MA31E9NY-9
合肥九牛饲料有限责任公司,葛冠平,—,安徽,合肥市,安徽省合肥市庐阳区四里河路66号安然绿洲花园南园辰龙大厦1208室,26821459@qq.com,91340103MA2RWWGY7B,MA2RWWGY-7
合肥亚博农牧有限公司,王玉,0551-68593665,安徽,合肥市,安徽省合肥市蜀山区小庙镇大柏社区(312国道529公里处路南),569761840@qq.com,9134010075299145XD,75299145-X
吉林省广泽韩一饲料有限公司,李锐峰,—,吉林,长春市,吉林省长春市九台市卡伦镇和气村,1461189470@qq.com; 742696668@qq.com; 1017513854@qq.com,91220181MA13X3AK72,MA13X3AK-7
吉林省金沃农牧科技有限公司,张志宝,0431-82563368；0431-82563590；0431-82563422,吉林,长春市,长春九台经济开发区卡伦工业园区北区甲四路北,1216908292@qq.com; 527153527@qq.com; 71644609@qq.com; 237064233@QQ.COM,91220181563928259D,56392825-9
固原宝发农牧有限责任公司,余宝,0954-3982070；0954-3982075；0954-7288800,宁夏,固原市,宁夏固原经济开发区建业街,gybfgs@163.com,9164040479994516XL,79994516-X
大成农牧（营口）有限公司,孙德宏,0417-5901272；0417-5901271；0417-5901275；0417-5901090,辽宁,营口市,辽宁省大石桥市永安镇,1006153826@qq.com; 1006153826@dachan.com.cn; yingjie_wei@dachan.com.cn; cuihong_ding@dachan.com.cn; dan_zeng@dachan.com.cn,912108006040624807,60406248-0
广东协诚生物科技有限公司,范小荣,0750-8258118；0750-6789995,广东,江门市,江门市新会区会城东庆北路7号5座201之二(2016室),,914407055847331002,58473310-0
广东新南都饲料科技有限公司,梁江东,020-61368878；020-61368851,广东,广州市,广州市天河区五山镇大丰一街1号广东省农业科学院畜牧研究所A区1号,newsouthland@126.com,91440000785759649R,78575964-9
广东昕昊实业有限公司,鲁昊,—,广东,肇庆市,四会市江谷镇精细化工工业园A0201-3室(仅作办公场所使用),99083104@qq.com,91441284MA4X0RG69K,MA4X0RG6-9
广东有机宝生物科技股份有限公司,邓晓华,020-38859025,广东,清远市,英德市东华镇清远华侨工业园精细化工基地金南三路1号,1164096323@qq.com; tanke@tanke.com.cn,914418815829616444,58296164-4
广东湘大骆驼饲料有限公司,周永红,0752-6573595,广东,惠州市,博罗县石湾镇永石大道滘吓段东侧,632812407@qq.com; 582709069@qq.com; 2081844471@qq.com; 117339903@qq.com,91441322553621544F,55362154-4
广东英维饲料有限公司,谭德明,020-84925026；020-84925033；020-84925022；020-84877716,广东,广州市,广州市南沙区榄核镇甘岗路磨碟头街21号,280401438@qq.com; inwe@21cn.com; 5387174@qq.com,9144011561740059X7,61740059-X
广东银海水产饲料有限公司,何利,0759-7905003；0759-7905005,广东,湛江市,岭北镇207国道与省道交叉处,3197396080@qq.com; 319739680@qq.com,91440823736178282R,73617828-2
德州派得宠物食品有限公司,施瑶,—,山东,德州市,山东省德州市经济技术开发区宋官屯街道办事处高速东二路东侧江口生物公司南邻(山东翔宇太阳能科技有限公司院内3号车间),470571311@qq.com; zhoulihong27@sina.com,91371400MA3NH8DW2E,MA3NH8DW-2
成都双胞胎饲料有限公司,陈衍明,028-82555196,四川,成都市,四川省成都市新津县川浙合作工业园,laixq@sbtjt.com; zhaomy@sbtjt.com; lubq@sbtjt.com,915101007854114073,78541140-7
成都唐人神湘大骆驼饲料有限公司,周永红,028-85726088；028-85726198,四川,成都市,中国(四川)自由贸易试验区四川省成都市双流区西南航空港经济开发区西航港大道中四段518号,674048279@qq.com; yspingan@sohu.com,91510122790024655F,79002465-5
杭州俞盈饲料有限公司,沈伟刚,0571-85230792,浙江,杭州市,杭州市江干区丁桥镇同协路28号1-13楼324室,hzyysl123@126.com; hzyysl123@163.com,91330104MA27YQCMXX,MA27YQCM-X
杭州正平生物技术有限公司,田崇贤,0571-57182777；0571-86700187,浙江,杭州市,杭州萧山经济技术开发区钱农一路8号,363654582@qq.com,91330109720051121P,72005112-1
江苏乐普生物技术有限公司,周华,0511-85613666,江苏,镇江市,镇江市丹徒区高资街道正东村高资茶叶实验场东场,,91321100MA1MCRL28Y,MA1MCRL2-8
江苏明辉饲料有限公司,马明辉,0515-88495896,江苏,盐城市,盐城市盐都区盐龙街道龙乘路10号(D),449065774@qq.com; 88495896@qq.com; jsmh2013@163.com; 737573083@qq.com,91320903660096765Q,66009676-5
江苏牧迪饲料有限公司,孙明珠,—,江苏,宿迁市,泗洪县半城镇330省道西侧(工业集中区),13917925308@qq.com,91321324MA1P6DR95C,MA1P6DR9-5
江苏科盛富邦饲料有限公司,周卫国,0518-82250108；0518-86084029,江苏,连云港市,连云港市连云区板桥工业园云港路,jianbing_xia@163.com; our0517@126.com,913207005767438357,57674383-5
江西省万事发饲料有限公司,舒正英,—,江西,南昌市,江西省南昌市南昌县迎宾中大道,82852392@qq.com; 8252392@qq.com,91360121778839771H,77883977-1
江西省伟梦饲料有限公司,李春萍,0791-85810321,江西,南昌市,江西省南昌市南昌县莲塘镇莲谢路,906409042@qq.com,91360121158643348C,15864334-8
中国人寿保险股份有限公司,王滨,010-63633333,北京,北京市,北京市西城区金融大街16号,,9110000071092841XX,71092841-X
中国人寿财产保险股份有限公司,刘安林,010-66190000,北京,北京市,北京市西城区金融大街17号中国人寿中心15-16层,,9110000071093449X1,71093449-X
中国人民人寿保险股份有限公司,缪建民,010-56906621,北京,北京市,北京市朝阳区朝阳门北大街18号中国人保寿险大厦27层2711室,Hq_GeneralAffairs@picclife.cn,911100007109337022,71093370-2
中国人民人寿保险股份有限公司重庆市陈家桥营销服务部,谢小梅,023-61529605；023-61529608,重庆,重庆市,重庆市沙坪坝区大学城北路50号附271、272号,lihong02@picclife.cn,91500000322316825H,32231682-5
中国人民保险集团股份有限公司,缪建民,010-69998888；010-69008888；010-62616611,北京,北京市,北京市西城区西长安街88号1至13层,picc_group@picc.com.cn,911000001000237368,10002373-6
中国人民财产保险股份有限公司,缪建民,010-63156688,北京,北京市,北京市朝阳区建国门外大街2号院2号楼,rbcxsfw@picc.com.cn,91100000710931483R,71093148-3
中国再保险（集团）股份有限公司,袁临江,010-66576666,北京,北京市,北京市西城区金融大街11号,IR@chinare.com.cn,9110000010002371XD,10002371-X
中国出口信用保险公司,宋曙光,010-66582288,北京,北京市,北京市西城区丰汇园11号丰汇时代大厦,webmaster@sinosure.com.cn,911100007109290334,71092903-3
中国太平保险集团有限责任公司,罗熹,010-52601290,北京,北京市,北京市西城区广宁伯街2号,xlluo@cntaiping.com,911100007109284282,71092842-8
中国太平洋财产保险股份有限公司,顾越,021-33960000,上海,上海市,中国(上海)自由贸易试验区银城中路190号交银大厦南楼,caijijun@cpic.com.cn,9131000073337320XW,73337320-X
中国太平洋财产保险股份有限公司临洮支公司,曹晶,0932-2234455,甘肃,定西市,甘肃省定西市临洮县洮阳镇文峰北路苗木市场1号展厅,1303407175@qq.com,91621124MA71LDA203,MA71LDA2-0
中国平安人寿保险股份有限公司,丁新民,—,广东,深圳市,深圳市福田区益田路5033号平安金融中心14、15、16、37、41、44、45、46层,wangbinyuan061@pingan.com.cn,914403007109307395,71093073-9
中国平安财产保险股份有限公司,孙建平,4008866338；0755-22623518,广东,深圳市,深圳市福田区益田路5033号平安金融中心12、13、38、39、40层,xieqx@pingan.com.cn,914403007109307208,71093072-0
中德安联人寿保险有限公司浙江分公司宁波营销服务部,吴大伟,0574-27829955,浙江,宁波市,浙江省宁波市海曙区南站东路16号(18-10)(18-11)室,,91330203786799327G,78679932-7
中德安联人寿保险有限公司浙江分公司平湖营销服务部,朱明霞,0573-85281258,浙江,嘉兴市,平湖市当湖街道新华南路321号-327号六楼,,91330400681651764B,68165176-4
中德安联人寿保险有限公司浙江分公司金华营销服务部,徐慧,0579-83503066,浙江,金华市,浙江省金华市城中街道新华街168号金茂大厦1幢8L室(自主申报),,9133070079763830X1,79763830-X
中邮人寿保险股份有限公司,党秀茸,010-68856880,北京,北京市,北京市西城区金融大街3号金鼎大厦B座6层、7层,chinapostlife@chinapost.com.cn,91110000717825368K,71782536-8
大家人寿保险股份有限公司,何肖锋,40088-95569,北京,北京市,北京市朝阳区建国门外大街6号10层1002,absxsw@ab-insurance.com,91110000556828452N,55682845-2
太平洋保险代理有限公司,席于林,021-33964111,上海,上海市,上海市徐汇区宜山路719号15层东区,yuehelong@cpic.com.cn,91310104MA1FR59M09,MA1FR59M-0
携程保险代理有限公司,邵季红,021-34064880,上海,上海市,上海市长宁区金钟路968号17号楼901、906室(实际楼层8楼),service@ctrip.com,91310105579158762F,57915876-2
易保保险代理有限公司,潘雷方,0571-56281706；0571-28098644,浙江,杭州市,杭州市滨江区西兴街道江陵路1760号1号楼610室,kefu@yibaobaoxian.com,91330108MA27WGGK09,MA27WGGK-0
易康吉保险经纪有限责任公司,姜官刚,024-22559688,辽宁,沈阳市,辽宁省沈阳市铁西区兴华南街75-4号(501-502室),xulamei@ekangji.com,91210100MA0P52QM8L,MA0P52QM-8
易才宏业保险经纪有限公司,张亚志,022-88325599；022-88325599-801；022-23466172,天津,天津市,天津市河西区黑牛城道与洞庭路交口东南侧五福大厦-1-1407、-1-1408,na.liu@chinatalentgroup.com,91120103MA06J25628,MA06J256-2
易联民康保险经纪有限公司,梁峻豪,—,海南,海口市,海南省海口市龙华区滨海大道117号滨海国际金融中心A座2203,350934665@qq.com,91460100MA5T6L1D53,MA5T6L1D-5
易通保险经纪有限公司,魏振东,0531-55767003,山东,济南市,山东省济南市历下区山师东路4号院5幢办公楼四层,finance@etoneib.com,91370100MA3MLJNF8P,MA3MLJNF-8
泰康人寿保险有限责任公司云南保山隆阳支公司,王治军,0875-2140333,云南,保山市,云南省保山市隆阳区兰城街道兰城路130号,ycj2520@163.com,91530502MA6K5TYGXQ,MA6K5TYG-X
泰康人寿保险有限责任公司云南保山龙陵支公司,段恒波,0875-6123857；0875-6123831,云南,保山市,云南省保山市龙陵县龙山镇热泉路,1316814681@qq.com,91530523550131953B,55013195-3
泰康人寿保险有限责任公司四川遂宁安居营销服务部,唐政,0825-2221616,四川,遂宁市,遂宁市安居区锦华街19号,,915109045557757901,55577579-0
泰康人寿保险有限责任公司新疆乌鲁木齐米东区营销服务部,候建颖,0991-3322282；0991-3322281；0991-5511143,新疆,乌鲁木齐市,新疆乌鲁木齐市米东区稻香南路810号铭苑小区A座三层商铺01室,181092976@qq.com,9165010978988085XE,78988085-X
泰康人寿保险有限责任公司新疆阿克苏阿瓦提支公司,杨春林,0997-2138531,新疆,阿克苏地区,新疆阿克苏地区阿瓦提县建设北路和花园西路交叉口处润华苑小区8号商铺,953087327@qq.com,916529285893131483,58931314-8
中京恒瑞国际软件有限公司,王明森,023-62607558,重庆,重庆市,重庆市江北区港安二路16号附3号5-1,,91500105MA614E5516,MA614E55-1
中企筑链科技有限公司,徐学武,4000571666,浙江,杭州市,浙江省杭州市滨江区西兴街道联慧街88号联慧科创中心A座9层901室,busniess@cebc.cn,91330108MA2HX90M0F,MA2HX90M-0
中教兴业信息系统集成（北京）有限公司,陈云海,—,北京,北京市,北京市朝阳区锦芳路1号院3号楼24层2407,627545355@qq.com,91110105MA01Q0827G,MA01Q082-7
中教宏业（北京）系统集成有限公司,邹明,—,北京,北京市,北京市通州区榆景东路5号院55号楼3层101室3122,xiongshuleigrace@163.com,91110112MA01R1N98D,MA01R1N9-8
中科华腾（厦门）科技有限公司,朱平,—,福建,厦门市,厦门市软件园三期凤岐路208-5号201单元,30255446@qq.com,91350200MA33R8F937,MA33R8F9-3
中科唯速（广东）科技有限公司,宋志峰,—,广东,佛山市,佛山市禅城区古新路70号佛山高新区科技产业园F座10楼之三(住所申报),songzhifeng@showboom.cn,91440604MA552JPG3L,MA552JPG-3
北京华云智天信息技术有限公司,礼群,—,北京,北京市,北京市东城区安定路20号5号楼四层420号,liq@ihyht.com,91110101MA01R86PXN,MA01R86P-X
北京合力金桥系统集成技术有限公司,安先爱,010-85801244；010-85801245；010-82656600,北京,北京市,北京市海淀区万泉河路68号紫金大厦15层,zhuhua@hollybridge.com; xiying@hollybridge.com,91110108101209532L,10120953-2
北京启数智能系统有限公司,焦广宇,—,北京,北京市,北京市海淀区中关村大街15-11号B2-J504,qishu@qishu.com,91110108MA01WAERX1,MA01WAER-X
北京浩宇中天系统集成技术有限公司,姜军,010-51262988；010-51262988-252,北京,北京市,北京市海淀区知春路甲48号盈都大厦1号楼18A,jiang.jun@haoyu-zt.com; liu.hongyun@haoyu_zt.com; houshuqin112@163.com,911101087560117891,75601178-9
吉林市中睿信息系统集成服务有限公司,王成成,—,吉林,吉林市,吉林省吉林市船营区迎宾大路11号吉林市高创投资管理有限责任公司大厦7楼718室,matrix3511@hotmail.com; lidong788@me.com; matrix3511@qq.com,91220204MA140TP6XF,MA140TP6-X
吉林阳光智能系统集成有限公司,杨杰,—,吉林,长春市,高新开发区阳光大厦12楼1207室,fanmaosheng2058@163.com,912201016616236197,66162361-9
吉闻信息系统（大连）有限公司,王文华,—,辽宁,大连市,辽宁省大连市沙河口区数码路100号11层10号,75004386@QQ.COM,91210231MA0YHE236N,MA0YHE23-6
安徽仝益电脑系统集成有限公司,崔海静,0552-4019288,安徽,蚌埠市,安徽省蚌埠市阿尔卡迪亚碧水湾附属商业1#幢1单元1层7号,2043761196@qq.com; 782882675@qq.com; 2043751196@qq.com; 2043751196@QQ.com,913403000772012499,07720124-9
安徽四通智能建筑系统集成工程有限公司,杨振友,0552-2055521,安徽,蚌埠市,安徽省蚌埠市长征路1135号,2055521@163.com,91340300729995364P,72999536-4
安徽威斯孚信息工程有限公司,朱司东,—,安徽,合肥市,安徽省合肥市包河区安徽五金机电商贸城B区11幢108、109号,13956966185@qq.com,91340111MA2UA5B9XK,MA2UA5B9-X
安徽皖脉网络系统集成有限公司,许家陆,—,安徽,滁州市,安徽省滁州市丰乐北路119-06号,857182254@qq.com; 296347940@qq.com,91341102MA2NMAP83X,MA2NMAP8-3
安徽铁面网络科技有限公司,刘文兵,—,安徽,合肥市,安徽省合肥市包河区洞庭湖路2788号滨湖假日花园B12幢802室,53724021@qq.com,91340100MA2TF4KM78,MA2TF4KM-7
广东中软系统集成有限公司,邱良,020-87502888,广东,广州市,广州市天河区龙口东路342-360号天诚广场505C室,,91440000719288260N,71928826-0
广东企胜系统集成有限公司,许宏亮,—,广东,广州市,广州市番禺区市桥街西环路1165-1185号(单号)第三层(部位:B020),,91440101MA59TW7W6N,MA59TW7W-6
广东创恒系统集成有限公司,王劲华,020-6666000；020-38102486；020-38102479,广东,广州市,广州市番禺区大石街石北工业路644号巨大创意产业园18栋306B,675108083@qq.com; gzd_ch@163.com; chuanghenghr@163.com,914401137211932795,72119327-9
广东奥腾云信息科技有限公司,邱志伟,020-83642991,广东,广州市,广州市天河区大观南路36号之一110房(仅限办公),1450040352@qq.com,91440101MA5CRBGT3K,MA5CRBGT-3
广东安宏系统集成有限公司,陈东鸿,020-83830990；020-83830789,广东,广州市,广东省广州市海珠区新港东路海诚东街10号自编403、404房,yyy909228@126.com; anhonr@126.com; 441806460@qq.com,914400007829859901,78298599-0
广东安护通信息科技有限公司,张朋朋,—,广东,广州市,广州市番禺区小谷围明志街1号信息枢纽楼3楼3-2L322A6,,91440101MA5D0HKU7E,MA5D0HKU-7
广东德善信息科技有限公司,丁大州,—,广东,广州市,广州市越秀区水荫路117号星光映景16层K1526号,13875899400@qq.com,91440101MA5CX0437K,MA5CX043-7
广西东方智源系统集成有限公司,董云飞,0771-5386652；0771-5715762；0771-5592105,广西,南宁市,南宁市青秀区金洲路11号金旺角商住楼A栋A2505号,605390531@qq.com; 819741520@qq.com; 565338946@qq.com,914501003158502103,31585021-0
广西北海市祥泉龙信息技术有限公司,曾祥,—,广西,北海市,广西壮族自治区北海市西藏路北海银河软件科技园3号楼生物楼302、303号,339588066@qq.com,91450500MA5P0GX96E,MA5P0GX9-6
广西标鼎安防系统集成有限责任公司,谭力维,—,广西,玉林市,玉林市金旺路21号1幢201房,123679318@qq.com,9145090009880900X5,09880900-X
广西灿程系统集成有限公司,刘志真,—,广西,防城港市,防城港市港口区东兴大道603号东湾桃花苑4号楼1单元1501号房,1332845560@qq.com,91450600MA5P2E1R53,MA5P2E1R-5
极早期系统集成（厦门）有限公司,叶振宁,0592-2380620,福建,厦门市,厦门市思明区湖滨南路57号金源大厦7楼F1单元,2695256750@qq.com,9135020058785803XD,58785803-X
保山宝源煤炭有限公司,付学和,0875-2122913,云南,保山市,云南省保山市隆阳区兰城街道保岫东路63号,515399961@qq.com,915305022189305855,21893058-5
包头市杨圪塄矿业有限公司,郑润厚,0472-8723109,内蒙古,包头市,内蒙古自治区包头市东河区杨圪楞,,9115020270148364XR,70148364-X
北京京煤集团有限责任公司,曹文俊,010-69842461；010-60821140；010-60821268,北京,北京市,北京市门头沟区新桥南大街2号,admin@beijingcoal.com,91110000102317586F,10231758-6
北京昊华能源股份有限公司,关志生,010-69839418；010-69839412,北京,北京市,北京市门头沟区新桥南大街2号,bjhhnyzqb@163.com,91110000746132245J,74613224-5
北京昊华能源股份有限公司大台煤矿,李忠学,010-61870322；010-69842361,北京,北京市,北京市门头沟区大台,dataimeikuang@163.com,91110109802330984K,80233098-4
北京昊华能源股份有限公司大安山煤矿,刘军,010-60372299,北京,北京市,北京市房山区大安山乡元港村,daskb43271@163.com,91110111802727092C,80272709-2
北京昊华能源股份有限公司木城涧煤矿,马成甫,010-61872014,北京,北京市,北京市门头沟区木城涧,mcjmk111@163.com,9111010980233351XQ,80233351-X
北京昊华能源股份有限公司长沟峪煤矿,董永站,010-69307605；010-69307041,北京,北京市,北京市房山区周口店地区周口店村,623734883@qq.com,91110111802730005H,80273000-5
北票煤业有限责任公司,王力,0421-5822878；0421-5880507,辽宁,朝阳市,辽宁省朝阳市北票市南山街舍宅路3号,bpmygs878@63.com,91211381729058186P,72905818-6
大同煤矿集团圣厚源煤业有限公司,盛德刚,0349-6084468,山西,朔州市,朔州市平鲁区下面高乡下面高村,dds6084468@163.com,91140000111472940L,11147294-0
大同煤矿集团宁武半沟煤业有限公司,杨海洲,0350-4768604,山西,忻州市,忻州市宁武县阳方口工矿镇贾家堡村,bgmy4768604@163.com,911400001120715087,11207150-8
大同煤矿集团朔州朔煤新裕煤矿,鲁学斌,0349-6867641；0349-6868641；0349-6867622,山西,朔州市,朔州市怀仁县云中镇鹅毛口村章瓦沟,309794401@qq.com,911400001118355539,11183555-3
大同煤矿集团马道头煤业有限责任公司,程剑新,—,山西,大同市,山西省大同市左云县小京庄乡,492125903@qq.com,91140000MA0H9HPG86,MA0H9HPG8
安康市安太矿业有限公司,温长学,0915-4161886,陕西,安康市,安康市汉滨区大竹园镇大竹园村3组,,91610000664108882H,66410888-2
安徽宿州金狮矿业有限责任公司,姚季鑫,0557-2889873,安徽,宿州市,安徽省宿州市埇桥区芦岭镇芦南村,ahjsky@163.com,91340000760840387N,76084038-7
安徽省皖北煤电集团有限责任公司,龚乃勤,0557-3982074；0557-3981462,安徽,宿州市,安徽省宿州市西昌路157号,webmaster@wbmd.cn,91341300152388171M,15238817-1
安阳市主焦煤业有限责任公司,孟现锋,0372-5612218,河南,安阳市,安阳县伦掌乡西柏涧村,zjny2008@163.com,91410522715683968X,71568396-8
宝清县万昌煤矿,张朝辉,0469-5416567,黑龙江,双鸭山市,黑龙江省双鸭山市宝清县小城子镇,439402485@qq.com,91230500777887966H,77788796-6
宝鸡秦源煤业有限公司,吴积和,—,陕西,宝鸡市,陕西省宝鸡市陇县东风镇,qybgs8090@163.com,916100007552264466,75522644-6
峨眉山市川主张沟煤矿,周秀毅,0833-5551161,四川,乐山市,峨眉山市川主镇杨河村2组,961427708@qq.com,91511100762312510E,76231251-0
巴州秦华工贸有限责任公司,李长杰,0996-2206423；0996-2206148,新疆,昌吉回族自治州,新疆巴州库尔勒市塔什店镇,qinhuameikuang@sina.com,91650000761131793X,76113179-3
巴里坤哈萨克自治县明鑫煤炭有限责任公司,唐仁,—,新疆,昌吉回族自治州,新疆哈密地区巴里坤县博尔羌吉镇,583200768@qq.com,916500002291516837,22915168-3
巴里坤哈萨克自治县明鑫煤炭有限责任公司二号立井,唐仁,—,新疆,昌吉回族自治州,新疆哈密地区巴里坤县博尔羌吉镇,583200768@qq.COM,91650000MA7762PK7R,MA7762PK-7
巴里坤哈萨克自治县明鑫煤炭有限责任公司混合斜井,宋建文,—,新疆,昌吉回族自治州,新疆哈密地区巴里坤县博尔羌吉镇,583200768@qq.COm,91650000MA7762PU98,MA7762PU-9
广西壮族自治区右江矿务局有限公司,黄启江,0776-5301056；0776-5305007,广西,百色市,田东县祥周镇新州村,gxyjkwj@163.com,9145100020066037X6,20066037-X
广西壮族自治区右江矿务局有限公司公篓矿,王天会,0776-3210099,广西,百色市,百峰乡平境村,yjmk3210099@163.com,91451021900593278N,90059327-8
广西壮族自治区右江矿务局有限公司塘内煤矿,李新球,0776-5308459,广西,百色市,田东县祥周镇九合村,2235637397@qq.com,91451000900660856Q,90066085-6
