企业名称,法定代表人,联系电话,省份,城市,地址,邮箱,网址,经营范围,企业类型,注册资本（万元）,币种,成立日期,统一社会信用代码,所属行业,行业代码,是否有进出口贸易,组织机构代码,经营状态,股票代码,公司名称,英文名称,公司网址,上市市场,公司业务,港股股份数目,主席,主要持股人,董事,公司秘书,注册办事处,公司总部,股份过户登记处,核数师,主要往来银行,法律顾问,电邮地址,区县,参保人数,注册资本,统一信用代码,公司代码,上市板块,A股代码,A股简称,A股上市日期,A股总股本(万股),A股流通股本(万股),B股代码,B股简称,B股上市日期,B股总股本(万股),B股流通股本(万股),发行价格,主承销商,公司简介,主营业务
  安徽北辰医疗用品有限公司淮南分公司,  王怀利,  —,  安徽,  淮南市,  淮南市田家庵区正发商城A区底层东1户,  ,  ,"  医疗器械二、三类销售及医用仪器设备的安装、维护和技术咨询服务;日用百货,电子产品,家用电器,文化办公用品的销售。",  有限责任公司分公司(自然人投资或控股),  ,  ,  2016-11-14,  91340400MA2N352W6B,  C 制造业,  2770,  ,  MA2N352W-6,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  安徽昌盛医疗用品有限公司,  马昌林,  0550-7041496,  安徽,  滁州市,  安徽省天长市平安南路东侧由由小区一层,  ahcsyl@163.com; 65416313@qq.com; 95416313@qq.com; 2859052901@qq.com,  ,  6804眼科手术器械、6815注射穿刺器械、6821医用电子仪器设备、6822医用光学器具、仪器及内窥镜设备、6846植入材料和人工器官、6854手术室、急救室、诊疗室设备及器具、6864医用卫生材料及敷料、6865医用缝合材料及粘合剂、6866医用高分子材料及制品、6877介入器材批零兼营（凭有效许可证经营）；一类医疗器械生产、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  有限责任公司(自然人投资或控股),  518,  人民币,  2004-12-15,  9134118176903017XM,  C 制造业,  2770,  ,  76903017-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  安徽百通达科技医疗用品有限公司,  王友,  0557-6602888,  安徽,  宿州市,  宿州市灵璧县经济开发区北部新区,  12581142@qq.com,  ,"  PVC手套、PE手套、聚氨酯、合成橡胶、天然橡胶手套、丁腈手套、医疗防护用品研发,生产及销售;货物进出口业务",  有限责任公司(自然人投资或控股),  5800,  人民币,  2017-08-09,  91341323MA2NWL943G,  C 制造业,  2770,  是,  MA2NWL94-3,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  安徽长勤医疗用品有限公司,  温友学,  0558-2222311,  安徽,  阜阳市,  阜阳开发区依心明园裕兴路80号,  1766401354@qq.com; 653042952@qq.com,  ,  消毒剂（液体消毒剂【净化】液体消毒剂、片剂消毒剂、凝胶消毒剂、膏剂）、化妆品、日常用品、卫生用品（抗[抑]菌制剂（液体）【净化】）、一类、二类医疗器械生产、销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  有限责任公司(自然人投资或控股),  500,  人民币,  2016-06-24,  91341200MA2MX4FG8G,  C 制造业,  2770,  ,  MA2MX4FG-8,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  封开县培鑫医用材料有限公司,  陈昱行,  0758-6667168,  广东,  肇庆市,  封开县江口镇东方二路129号,  pasion@pasion.com.cn; jiangxupei@126.com,  www.pasion.com.cn,  医用弹力绷带，医用保健用品。(依法须经批准的项目，经相关部门批准后方可开展经营活动),  有限责任公司(自然人独资),  50,  人民币,  2002-05-27,  914412257398582324,  C 制造业,  2770,  ,  73985823-2,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  常州斯纳琪护理用品有限公司,  袁建良,  0519-83271224,  江苏,  常州市,  江苏武进经济开发区锦华路9号,  admin@czsnug.com,  http://www.czsnug.com,"  护理用品(除医疗器械)的生产、销售,自营和代理各类商品和技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。第一类医疗器械生产;第一类医疗器械零售;第一类医疗器械批发【依法须经批准的项目,经相关部门批准后方可开展经营活动】",  有限责任公司(自然人投资或控股),  500,  人民币,  2010-09-19,  913204125618454412,  C 制造业,  2770,  是,  56184544-1,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  常州舒心卫生用品有限公司,  尤金生,  —,  江苏,  常州市,  常州市金坛区金城镇黄庄小桥168号,  550810@qq.com; 13861110118@126.com,  ,  一次性护理垫的生产和销售;电子产品的生产和销售;卫生用品的研发及技术转让、技术咨询服务;自营和代理各类商品及技术的进出口业务。,  有限责任公司(自然人独资),  50,  人民币,  2013-05-28,  913204130695057362,  C 制造业,  2770,  ,  06950573-6,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  常熟一诺医疗用品有限公司,  周星,  0512-52551649；0512-52559309；0512-52559099,  江苏,  苏州市,  江苏省常熟市支塘镇,  gaodm@csyvsy.com,  www.yenuo.com,"  二类6846植入材料及人工器官、6864医用卫生材料及敷料、一类6866医用高分材料及制品、塑料包装袋(厚度大于0.015毫米)、湿巾、纸制围巾、取样管、无纺制品制造、加工、销售;一类、二类医疗器械生产、销售;劳保用品销售;从事货物及技术的进出口业务,。",  有限责任公司(自然人投资或控股),  248.348699,  人民币,  1999-05-20,  91320581713210163A,  C 制造业,  2770,  是,  71321016-3,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  常熟伟盛医疗用品有限公司,  晋伟文,  0512-52559251,  江苏,  苏州市,  常熟市支塘镇北园区泰康路1-3号6幢,  jinweiwen88@126.com; sales1@wilsonjin.com; salesl@wilsonjin.com,  http://www.wilsonjin.com,"  尿袋生产、销售;塑料制品销售;从事货物及技术的进出口业务,但国家限定公司经营或禁止进出口的商品及技术除外。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",  有限责任公司(自然人投资或控股),  100,  人民币,  2013-02-01,  9132058106185865XW,  C 制造业,  2770,  是,  06185865-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  无锡好得利医用卫生新材料有限公司,  陈章华,  0510-83383366；0510-83385377,  江苏,  无锡市,  无锡惠山经济开发区前洲配套区新石路12号,  jstz@tianzhang.net.cn; wxtzfz2009@163.com,  ,"  卫生材料及医药用品、棉纺织、家用纺织制成品、非织造布、医用塑料制品的制造、加工及销售;消毒服务;棉的销售;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品及技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",  有限责任公司（非自然人投资或控股的法人独资）,  200,  人民币,  2013-06-06,  9132020607103649X2,  C 制造业,  2770,  ,  07103649-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  杭州凯源医疗用品有限公司,  徐华君,  —,  浙江,  杭州市,  浙江省杭州市余杭区闲林街道闲兴路21号2楼,  ,  ,"  生产、销售:第一类医疗器械。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",  有限责任公司(自然人投资或控股),  300,  人民币,  2017-08-18,  91330110MA28X7HC36,  C 制造业,  2770,  ,  MA28X7HC-3,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  杭州凯跃卫生用品有限公司,  方英,  0571-69967890,  浙江,  杭州市,  浙江省杭州市桐庐县桐庐经济开发区柴梅路66号,  ,  ,"  生产、销售(含网上销售):尿裤、尿垫、隔尿垫、卫生巾、防溢乳垫、第一类医疗器械; 销售:无纺布、护理垫、生活用纸、纸张、造纸原料、卫生巾材料、第二类医疗器械(免征目录范围内经营);货物进出口(法律、行政法规禁止经营项目除外,法律、行政法规限制经营的项目取得许可后方可经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",  有限责任公司(自然人投资或控股),  500,  人民币,  2018-01-12,  91330122MA2B0AAG2Q,  C 制造业,  2770,  ,  MA2B0AAG-2,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  杭州康德医用敷料有限公司,  赵繁强,  0571-86157522,  浙江,  杭州市,  杭州余杭区星桥街道丁山村,  kdzfqiang@126.com,  ,  制造、加工:一次性医用敷料(创可贴、纱布球、橡皮胶、敷贴)。**货物进出口;法律、行政法规限制的项目取得许可后方可经营)。,  有限责任公司(自然人投资或控股),  50,  人民币,  2000-02-22,  91330110720097322X,  C 制造业,  2770,  是,  72009732-2,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  沈阳博维医疗用品有限公司,  张永良,  024-87807117；024-27757117；024-27751117；024-25737117,  辽宁,  沈阳市,  辽中县茨榆坨镇五委,  13610812111@163.com; 729028884@qq.com,  ,  三类：6815注射穿刺器械，6866医用高分子材料及制品；二类：6801基础外科手术器械，6820普通诊察器械，6827中医器械，6864医用卫生材料及敷料，6865医用缝合材料及粘合剂；保健食品、预包装食品、乳制品、化妆品批发兼零售；一类医疗器械、卫生用品、消杀用品生产、销售；一类基础外科手术器械、一类口腔科手术器械、一类消毒和灭菌设备及器具生产、销售；土特产品生产、销售；保健食品研发及技术推广服务；医药信息咨询；旅游信息、广告信息咨询；日用品、电子产品、玻璃制品、仪器仪表、茶叶、竹制品、工艺品、五金工,  有限责任公司(自然人投资或控股),  60,  人民币,  2011-12-14,  912101225838887685,  C 制造业,  2770,  ,  58388876-8,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  沈阳奥力医用设备制造有限公司,  董绍龙,  —,  辽宁,  沈阳市,  辽宁省沈阳市沈北新区虎石台镇双楼子村1045号,  2575118112@qq.com; 89793427@qq.com; 358794652@qq.com,  ,"  医用病床、医用推车、医用台架、医疗器械、办公家具加工、销售,自营和代理各类商品和技术的进出口,但国家限定公司经营或禁止进出口的商品和技术除外。(依法须经批准的项目,经相关部门批准后方可开展经营活动。)",  有限责任公司(自然人投资或控股),  100,  人民币,  2015-04-03,  91210114313291793N,  C 制造业,  2770,  ,  31329179-3,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  沈阳达仕卫生用品有限公司,  李丽,  —,  辽宁,  沈阳市,  沈阳市苏家屯区临湖街道办事处王秀村1号,  1264598625@qq.com; zxs1975@163.com; 1013819943@qq.com; zsx1975@163.com,  ,"  湿巾制造;湿巾、纸制品、日用百货、化妆品、食品、办公用品、针纺织品、服装、鞋帽、文化用品、体育用品、化工原料及产品、工艺礼品、玉器、玩具、保健用品、五金产品批发、零售;经济信息咨询服务;自营和代理各类商品和技术的进出口,但国家限定公司经营或禁止进出口的商品和技术除外。",  有限责任公司(自然人投资或控股),  50,  人民币,  2011-04-18,  91210111569443287D,  C 制造业,  2770,  是,  56944328-7,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  河南天和卫生材料有限公司,  齐中宽,  —,  河南,  郑州市,  郑州市高新区莲花街338号10号楼6层35号,  214420774@qq.com,  ,  研发、生产、销售：第一、二类医疗器械、防护用品、劳保用品、消毒产品（易燃易爆危险化学品除外）、体育用品；货物或技术进出口。,  有限责任公司(自然人投资或控股),  500,  人民币,  2005-11-07,  914101007822127950,  C 制造业,  2770,  ,  78221279-5,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  河南永泰卫生材料有限公司,  仝成,  —,  河南,  周口市,  淮阳县工业园区腾飞路南侧,  2508657197@qq.com,  ,  棉布、纱布生产、销售；棉纱销售；第一类医疗器械销售；棉花收购、销售；提供环氧乙烷灭菌服务。***,  有限责任公司(自然人独资),  300,  人民币,  2003-08-20,  9141162675385131XE,  C 制造业,  2770,  ,  75385131-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  河南永祥卫材有限公司,  朱念伟,  —,  河南,  安阳市,  滑县慈周寨镇朱娘寨村,  369801654@qq.com; 978055919@qq.com,  ,  生产销售:医用纱布。,  有限责任公司(自然人独资),  100,  人民币,  2017-05-15,  91410526MA4101Y47U,  C 制造业,  2770,  ,  MA4101Y4-7,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  河南省豫北卫材有限公司,  毛坎轩,  0373-8816228；0373-8848993；0373-8818228；0373-8820388；0373-8816650；0373-8816651；0373-8816652,  河南,  新乡市,  长垣县蒲东工业园区,  yubeiweicai@163.com,  http://www.hnybwc.com,  生产第I类、第II类、第III类医疗器械生产及销售；棉纺织生产及销售、棉纱布脱漂、卫生用品、塑料制品、消毒用品、劳保用品、中药过滤袋的生产及销售服务（以上项目化学危险品除外）、货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外),  有限责任公司(自然人投资或控股),  5200,  人民币,  2009-11-02,  91410728706620746B,  C 制造业,  2770,  ,  70662074-6,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  上海成农饲料有限公司,  布红军,  021-58188050；021-58185100,  上海,  上海市,  浦东新区宣桥镇项埭村三组,  shcnrz@foxmail.com; 285245041@qq.com; 514195447@qq.com,  http://www.safeed.com.cn,  饲料，销售，生产（凭许可证）；从事货物及技术进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,  有限责任公司（自然人投资或控股的法人独资）,  1000,  人民币,  2004-07-15,  91310115765304735J,  C 制造业,  1329,  是,  76530473-5,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  上海成大饲料有限公司,  文江明,  021-57648801；021-59548009；021-67220016,  上海,  上海市,  上海市金山区枫泾镇环东一路88号,  gulihua-48@163.com,  www.chengdafeed.cn,  饲料生产，饲料批发零售。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,  有限责任公司(自然人投资或控股),  2000,  人民币,  2002-12-11,  913101167456300748,  C 制造业,  1329,  ,  74563007-4,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  中山爱莉宠物饲料有限公司,  毕家伟,  0760-85330088；0760-89933422；0760-89933966,  广东,  中山市,  中山市火炬开发区欧亚路三号3层,  46595899@QQ.COM; 46595899@qq.com,  ,  生产经营猫粮、狗粮（其原材料为：鸡肉、鸭肉、驼鸟肉、牛肉、羊肉、鱼、海鲜、蔬菜、水果）等宠物食品。（依法须经批准的项目，经相关部门批准后方可开展经营活动；根据粤府办【2014】24号文件，上述经营范围涉及：饲料、饲料添加剂生产事项。）,  有限责任公司(台港澳法人独资),  119.9769,  美元,  2010-08-10,  914420005591393452,  C 制造业,  1321,  是,  55913934-5,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  乖宝宠物食品集团有限责任公司,  秦华,  0635-7076058；0635-5085266；0635-2937919；0635-7077955,  山东,  聊城市,  聊城市经济技术开发区牡丹江路8号,  chenxuejiao@gambolpet.com; lizhen@gambolpet.com; ZPLYSH@163.com; hanziguan1968@163.com; luchunxiao@gambolpet.com,  www.gambolpet.com,  宠物食品加工、销售；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  有限责任公司(中外合资),  7798.430735,  人民币,  2006-06-26,  91371500790384538P,  C 制造业,  1321,  是,  79038453-8,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  光泽县泽农生物科技有限公司,  孙政宇,  —,  福建,  南平市,  光泽县鸾凤乡中坊村1层1#、2#、3#,  ,  ,  鸡肉粉、肉骨粉、鸡血粉、鸡肝粉、鸡肠肽、鸡血球蛋白、鸡血浆蛋白、动物油脂、宠物饲料、动物饲料原料、饲料级竹粉、动物源性蛋白饲料的研发生产及销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  有限责任公司(自然人投资或控股),  1000,  人民币,  2014-11-26,  91350723315339201C,  C 制造业,  1321,  ,  31533920-1,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  厦门贝贝哟宠物食品有限公司,  钟高昌,  —,  福建,  厦门市,  厦门市集美区灌口镇海仔市里98号,  ,  http://www.beibeiyo.com.cn,  饲料加工；食品添加剂零售；水产饲料制造；其他未列明食品制造；兽药批发；兽药零售；其他未列明农副食品加工；饲料批发；饲料零售；其他农牧产品批发；其他未列明批发业（不含需经许可审批的经营项目）；互联网销售；谷物、豆及薯类批发；食品添加剂批发；贸易代理；生物技术推广服务。,  有限责任公司(自然人投资或控股),  500,  人民币,  2018-01-02,  91350211MA31E9NY92,  C 制造业,  1321,  ,  MA31E9NY-9,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  合肥九牛饲料有限责任公司,  葛冠平,  —,  安徽,  合肥市,  安徽省合肥市庐阳区四里河路66号安然绿洲花园南园辰龙大厦1208室,  26821459@qq.com,  ,  饲料产品研发及市场开发；饲料批发及零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  其他有限责任公司,  1000,  人民币,  2018-07-18,  91340103MA2RWWGY7B,  C 制造业,  1329,  ,  MA2RWWGY-7,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  合肥亚博农牧有限公司,  王玉,  0551-68593665,  安徽,  合肥市,  安徽省合肥市蜀山区小庙镇大柏社区(312国道529公里处路南),  569761840@qq.com,  http://www.yabofeed.com,  家畜禽及水产配合饲料、家畜禽的浓缩饲料、添加剂预混合饲料、饲料原料的生产和销售；农产品及农副产品的购销（除粮油外）；自有家畜禽及水产品的销售（涉及前置审批凭许可证经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  有限责任公司,  500,  人民币,  2003-09-24,  9134010075299145XD,  C 制造业,  1329,  是,  75299145-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  吉林省广泽韩一饲料有限公司,  李锐峰,  —,  吉林,  长春市,  吉林省长春市九台市卡伦镇和气村,  1461189470@qq.com; 742696668@qq.com; 1017513854@qq.com,  ,  饲料生产与销售(依法须经批准的项目，经相关部门批准后方可开展经营活动),  有限责任公司(非自然人投资或控股的法人独资),  1050,  人民币,  2016-12-28,  91220181MA13X3AK72,  C 制造业,  1329,  ,  MA13X3AK-7,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  吉林省金沃农牧科技有限公司,  张志宝,  0431-82563368；0431-82563590；0431-82563422,  吉林,  长春市,  长春九台经济开发区卡伦工业园区北区甲四路北,  1216908292@qq.com; 527153527@qq.com; 71644609@qq.com; 237064233@QQ.COM,  http://www.jljinwo.com/,  浓缩饲料、配合饲料生产及销售，精料补充料、饲料添加剂、粮食收储及销售，饲料经销（按许可证核定的范围和期限经营）,  有限责任公司(自然人投资或控股),  1200,  人民币,  2011-01-04,  91220181563928259D,  C 制造业,  1329,  ,  56392825-9,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  固原宝发农牧有限责任公司,  余宝,  0954-3982070；0954-3982075；0954-7288800,  宁夏,  固原市,  宁夏固原经济开发区建业街,  gybfgs@163.com,  www.nxbfnm.com,  饲料加工（凭许可证经营）、销售；动物饲料的技术开发、服务；农业基地开发建设；牧草、牧草良种的培育、种植、销售；苜蓿草颗粒、植物秸秆颗粒的加工销售；宠物饲料的加工、销售；宠物用品销售；畜禽与水产的养殖、销售及养殖技术咨询、服务；土壤微生物改良技术应用及推广服务；农副产品收购、初加工、销售；粮食、土豆、小杂粮的种植、收购、加工销售；农业机械耕作服务；食品加工、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  有限责任公司(自然人独资),  2000,  人民币,  2008-09-05,  9164040479994516XL,  C 制造业,  1321,  ,  79994516-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  大成农牧（营口）有限公司,  孙德宏,  0417-5901272；0417-5901271；0417-5901275；0417-5901090,  辽宁,  营口市,  辽宁省大石桥市永安镇,  1006153826@qq.com; 1006153826@dachan.com.cn; yingjie_wei@dachan.com.cn; cuihong_ding@dachan.com.cn; dan_zeng@dachan.com.cn,  ,  生产加工各种禽畜饲料，水产饲料，宠物饲料的全价饲料，浓缩饲料，精料，预混料，添加剂；引进各种禽畜需之添加剂，供应生产使用；生产加工本公司产品所需的包装制品；研究开发饲料和禽畜、水产饲料技术及相关服务；饲养禽畜；肉食鸡加工、肉食鸡来料代加工；兽药的批发和管理咨询；经销预包装食品、日用品、水产品；自有房屋租赁；粮食收购；货物及技术的进出口业务；佣金代理（拍卖除外）和其它相关配套业务（涉及配额许可证管理、专项规定管理的商品按照国家有关规定办理）（涉及行政许可的，凭许可证经营）。（依法须经批准的项目，经相关部门批,  有限责任公司(外国法人独资),  1747,  美元,  1997-04-01,  912108006040624807,  C 制造业,  1321,  是,  60406248-0,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  广东协诚生物科技有限公司,  范小荣,  0750-8258118；0750-6789995,  广东,  江门市,  江门市新会区会城东庆北路7号5座201之二(2016室),  ,  www.xiechengsw168.com,  研发、销售：饲料、饲料添加剂；销售：饲料原料、宠物用品、兽用医疗用品及器材、兽药（除兽用生物制品外）；饲料技术咨询服务、推广服务；养殖技术研发、咨询服务；养殖、销售：家禽、猪、牛、水产品（生产经营场所另设）。,  有限责任公司(自然人投资或控股),  500,  人民币,  2011-11-09,  914407055847331002,  C 制造业,  1329,  ,  58473310-0,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
